iter,obj,time
0,533433,10
1,254032,10
2,80632.7,10
3,35965.2,10
4,31711.3,11
5,30264.5,11
6,29541,11
7,29016.1,11
8,28588.2,11
9,28219.6,11
10,27867.2,12
11,27440.9,11
12,26607.4,11
13,23279.2,11
14,9511.78,11
15,4371.14,11
16,4196.48,11
17,4167.92,11
18,4159.41,11
19,4155.53,11
20,4153.34,11
21,4151.9,11
22,4150.89,11
23,4150.14,11
24,4149.57,12
25,4149.13,12
26,4148.78,11
27,4148.5,11
28,4148.26,11
29,4148.07,11
30,4147.9,12
31,4147.76,11
32,4147.63,11
33,4147.51,11
34,4147.41,11
35,4147.31,11
36,4147.23,11
37,4147.14,11
38,4147.07,11
39,4147,11
40,4146.94,11
41,4146.88,11
42,4146.82,11
43,4146.77,11
44,4146.72,12
45,4146.68,11
46,4146.63,11
47,4146.59,11
48,4146.56,11
49,4146.52,11
50,4146.49,11
51,4146.46,11
52,4146.43,11
53,4146.4,11
54,4146.38,10
55,4146.36,11
56,4146.33,10
57,4146.31,11
58,4146.29,12
59,4146.28,11
60,4146.26,11
61,4146.24,11
62,4146.23,11
63,4146.21,11
64,4146.2,11
65,4146.19,11
66,4146.18,11
67,4146.17,11
68,4146.16,11
69,4146.15,11
70,4146.14,11
71,4146.13,11
72,4146.12,11
73,4146.12,11
74,4146.11,11
75,4146.1,11
76,4146.1,11
77,4146.09,11
78,4146.09,11
79,4146.08,11
80,4146.08,11
81,4146.07,12
82,4146.07,11
