iter,obj,time
0,16038.2,8
1,10079.7,8
2,6610,8
3,3982.04,8
4,2434.69,8
5,2203.17,8
6,2036.68,8
7,1888.93,8
8,1731.61,8
9,1585.12,8
10,1500.04,8
11,1459.75,8
12,1436.42,8
13,1420.79,8
14,1409.21,8
15,1399.93,8
16,1392.05,8
17,1385.1,8
18,1378.87,8
19,1373.28,8
20,1368.3,8
21,1363.88,8
22,1359.94,8
23,1356.37,8
24,1353.05,8
25,1349.89,8
26,1346.81,8
27,1343.73,8
28,1340.65,8
29,1337.57,8
30,1334.53,8
31,1331.62,8
32,1328.92,8
33,1326.52,8
34,1324.49,8
35,1322.82,8
36,1321.5,8
37,1320.48,8
38,1319.7,8
39,1319.1,8
40,1318.64,8
41,1318.28,8
42,1318,8
43,1317.78,8
44,1317.6,8
45,1317.45,8
46,1317.33,8
47,1317.22,8
48,1317.14,8
49,1317.07,8
50,1317.01,8
51,1316.95,8
52,1316.91,8
53,1316.87,8
54,1316.84,8
55,1316.81,8
56,1316.79,8
57,1316.77,8
58,1316.75,8
59,1316.73,8
60,1316.72,7
61,1316.71,8
62,1316.7,8
63,1316.69,8
64,1316.68,8
65,1316.67,8
66,1316.67,8
67,1316.66,8
68,1316.66,8
69,1316.65,8
70,1316.65,8
71,1316.65,8
72,1316.64,8
73,1316.64,8
74,1316.64,8
75,1316.64,8
76,1316.64,8
77,1316.63,7
78,1316.63,8
79,1316.63,8
80,1316.63,8
