iter,obj,time
0,1.38361e+06,157
1,747051,162
2,356861,157
3,81751,162
4,57303.3,156
5,48229.1,162
6,42814.5,159
7,37892.4,158
8,35299.6,158
9,33432.5,160
10,31944.3,159
11,29923.8,164
12,28288.4,165
13,27489.5,162
14,26996.7,163
15,26510.5,161
16,26031.7,164
17,25412.6,163
18,24539.9,169
19,24010,169
20,23796.1,167
21,23617.3,168
22,23489.7,170
23,23408.3,175
24,23344.8,167
25,23292.4,166
26,23247.4,160
27,23207.7,163
28,23172.2,160
29,23139.7,163
30,23109.8,159
31,23082.1,160
32,23057.2,159
33,23037.2,161
34,23023.2,157
35,22998.6,160
36,22955.8,159
37,22903.6,160
38,22784.8,158
39,22244.6,161
40,21756.2,156
41,21644.2,161
42,21621.8,158
43,21606.6,161
44,21593.4,158
45,21579.2,161
46,21564,158
47,21550,160
48,21538,158
49,21527.4,161
50,21517.8,158
51,21508.6,162
52,21499.5,159
53,21490,159
54,21479.6,158
55,21467.3,163
56,21452,158
57,21432.8,163
58,21409.2,158
59,21381.9,160
60,21353.8,161
61,21330.7,157
62,21317.2,160
63,21308,160
64,21301.7,159
65,21298.9,163
66,21279,159
67,21260.5,163
68,21252.4,159
69,21246.6,161
70,21241.3,158
71,21236.4,161
72,21231.7,157
73,21227.2,160
74,21222.8,159
75,21218.6,161
76,21214.3,158
77,21210.1,162
78,21205.9,159
79,21201.7,161
80,21197.6,157
81,21193.6,165
82,21190,157
83,21186.6,162
84,21183.4,159
85,21180.2,162
86,21177.2,158
87,21174.2,163
88,21171.3,160
89,21168.4,172
90,21165.5,159
91,21162.6,162
92,21159.8,158
93,21156.9,161
94,21154,159
95,21151.2,162
96,21148.3,160
97,21145.3,160
98,21142.4,159
99,21139.4,163
