iter,obj,time
0,235016,18
1,86723.5,18
2,38423.7,18
3,24816.4,18
4,21566.2,18
5,17733.9,19
6,15902.6,20
7,14152.2,19
8,12303.4,20
9,11357.8,20
10,11091.8,19
11,10888.7,19
12,10396.1,19
13,9714.8,19
14,9531.56,19
15,9360.68,21
16,8800.78,21
17,8541.2,21
18,8481.29,20
19,8430.72,21
20,8384.47,19
21,8343.5,19
22,8307.6,19
23,8275.35,18
24,8244.8,20
25,8212.91,21
26,8170.46,20
27,8065.3,20
28,7574.15,21
29,7120.16,20
30,7072.64,19
31,7056.56,19
32,7046,19
33,7037.14,19
34,7029.39,20
35,7022.54,20
36,7016.46,21
37,7011.03,21
38,7006.18,21
39,7001.83,20
40,6997.9,20
41,6994.36,19
42,6991.13,20
43,6988.18,19
44,6985.46,19
45,6982.94,20
46,6980.56,20
47,6978.29,20
48,6976.03,21
49,6973.68,20
50,6970.99,19
51,6967.39,19
52,6961.13,19
53,6945.51,19
54,6882.98,20
55,6562.11,20
56,6226.98,20
57,6186.04,20
58,6170.66,20
59,6158.78,20
60,6148.67,19
61,6139.74,23
62,6131.69,19
63,6124.32,19
64,6117.5,20
65,6111.14,20
66,6105.17,20
67,6099.51,20
68,6094.13,20
69,6088.98,19
70,6084.03,19
71,6079.26,18
72,6074.64,19
73,6070.15,18
74,6065.79,19
75,6061.54,20
76,6057.4,20
77,6053.35,20
78,6049.4,20
79,6045.54,20
80,6041.76,19
81,6038.08,19
82,6034.48,19
83,6030.98,19
84,6027.56,20
85,6024.24,21
86,6021.02,21
87,6017.89,21
88,6014.85,21
89,6011.92,20
90,6009.08,20
91,6006.33,18
92,6003.69,19
93,6001.14,18
94,5998.68,19
95,5996.32,19
96,5994.04,20
97,5991.85,20
98,5989.75,20
99,5987.73,20
