iter,obj,time
0,3.04191e+06,50
1,2.15973e+06,49
2,1.53078e+06,51
3,1.05164e+06,52
4,724144,50
5,477650,50
6,287712,51
7,205428,51
8,113330,50
9,72436.9,49
10,32055,51
11,25142,52
12,23249.2,49
13,21715.1,49
14,20596.5,50
15,19589.6,52
16,18849.3,50
17,18358.2,49
18,18057,50
19,17879.7,52
20,17777,50
21,17717.7,49
22,17683.4,55
23,17663.7,53
24,17652.3,49
25,17645.7,48
26,17641.9,55
27,17639.7,52
28,17638.4,49
29,17637.7,48
30,17637.3,50
31,17637,53
32,17636.9,49
33,17636.8,49
34,17636.7,50
35,17636.7,52
36,17636.7,49
