iter,obj,time
0,8.8825e+06,45
1,6.29513e+06,47
2,4.35357e+06,45
3,2.243e+06,46
4,1.75143e+06,48
5,1.38018e+06,48
6,1.15111e+06,48
7,1.00587e+06,45
8,898757,46
9,809423,50
10,706292,49
11,628079,47
12,594241,47
13,578974,47
14,562551,50
15,532361,50
16,494201,46
17,435925,47
18,398052,50
19,384849,50
20,377692,46
21,365047,46
22,342818,47
23,333259,52
24,327690,51
25,318267,46
26,308393,47
27,304149,53
28,300298,47
29,292849,46
30,276266,47
31,268149,50
32,265237,50
33,260871,47
34,254521,48
35,244614,48
36,235546,53
37,230233,50
38,224826,49
39,212307,48
40,186065,55
41,177324,48
42,176194,47
43,175750,48
44,175368,54
45,175018,50
46,174690,47
47,174379,51
48,174078,54
49,173781,49
50,173481,48
51,173172,49
52,172845,53
53,172489,50
54,172091,50
55,171634,47
56,171095,50
57,170439,50
58,169606,46
59,168497,47
60,166948,49
61,164770,55
62,161938,46
63,158537,48
64,154143,48
65,148386,52
66,142320,47
67,131746,47
68,110603,49
69,104266,52
70,102858,48
71,102334,47
72,102185,48
73,102090,52
74,102013,48
75,101946,47
76,101887,48
77,101834,46
78,101785,53
79,101740,50
80,101697,47
81,101657,48
82,101619,54
83,101582,51
84,101547,48
85,101514,50
86,101481,54
87,101450,50
88,101421,49
89,101392,50
90,101364,53
91,101337,52
92,101311,47
93,101286,49
94,101262,51
95,101238,49
96,101215,48
97,101193,50
98,101172,52
99,101151,49
