iter,obj,time
0,1.38339e+06,245
1,684042,456
2,340545,249
3,50133.8,249
4,17584.3,258
5,12199.9,248
6,8896.89,249
7,6873.72,248
8,5555.4,248
9,4543.45,247
10,3893.31,244
11,3402.33,241
12,2969.7,250
13,2629.02,252
14,2400.06,248
15,2178.06,251
16,1999.26,249
17,1831.47,248
18,1680.39,250
19,1544.68,248
20,1435.57,247
21,1344.24,249
22,1262.03,249
23,1185.3,248
24,1113.96,248
25,1047.79,260
26,984.856,258
27,924.791,248
28,870.771,250
29,825.949,248
30,788.948,251
31,753.364,248
32,715.424,249
33,681.579,249
34,655.375,254
35,632.841,247
36,612.078,249
37,592.361,248
38,573.627,248
39,555.804,251
40,538.8,252
41,522.413,250
42,506.466,248
43,490.851,251
44,475.556,250
45,460.623,254
46,446.147,250
47,432.26,251
48,419.19,252
49,407.361,247
50,397.264,253
51,388.187,246
52,377.405,248
53,365.629,247
54,356.179,249
55,348.654,250
56,341.805,244
57,335.399,241
58,329.163,247
59,323.092,245
60,317.126,248
61,311.285,247
62,305.563,249
63,299.98,248
64,294.544,249
65,289.268,248
66,284.156,249
67,279.209,249
68,274.422,248
69,269.785,247
70,265.287,248
71,260.918,252
72,256.669,251
73,252.534,256
74,248.515,249
75,244.617,248
76,240.85,249
77,237.229,247
78,233.773,247
79,230.502,251
80,227.436,249
81,224.591,261
82,221.972,249
83,219.578,252
84,217.403,249
85,215.432,253
86,213.649,251
87,212.039,249
88,210.585,247
89,209.271,250
90,208.086,250
91,207.015,250
92,206.047,247
93,205.171,249
94,204.379,247
95,203.66,249
96,203.006,249
97,202.409,250
98,201.861,254
99,201.354,248
100,200.88,249
101,200.433,249
102,200.004,250
103,199.591,249
104,199.192,257
105,198.806,250
106,198.43,248
107,198.064,248
108,197.705,252
109,197.353,250
110,197.004,253
111,196.661,247
112,196.323,250
113,195.994,248
114,195.676,249
115,195.371,254
116,195.08,249
117,194.804,249
118,194.542,248
119,194.295,255
120,194.06,248
121,193.838,250
122,193.627,248
123,193.426,252
124,193.234,248
125,193.05,249
126,192.874,250
127,192.705,251
128,192.542,256
129,192.385,247
130,192.233,253
131,192.087,249
132,191.945,249
133,191.808,256
134,191.675,248
135,191.546,249
136,191.42,252
137,191.298,253
138,191.179,248
139,191.063,248
140,190.951,248
141,190.842,246
142,190.736,250
143,190.634,254
144,190.535,247
145,190.439,249
146,190.347,248
147,190.259,248
148,190.175,248
149,190.094,255
150,190.017,248
151,189.945,250
152,189.876,248
153,189.811,248
154,189.749,250
155,189.692,257
156,189.638,248
157,189.587,248
158,189.539,249
159,189.496,253
160,189.458,248
161,189.424,248
162,189.393,248
163,189.365,251
164,189.339,253
165,189.315,248
166,189.293,251
167,189.272,248
168,189.252,248
169,189.234,248
170,189.216,249
171,189.199,251
172,189.184,249
173,189.168,248
174,189.154,254
175,189.14,249
176,189.126,248
177,189.113,248
178,189.101,249
179,189.089,254
180,189.077,248
181,189.066,248
182,189.055,249
183,189.045,248
184,189.034,253
185,189.024,253
186,189.014,247
187,189.005,248
188,188.996,250
189,188.987,254
190,188.978,248
191,188.969,249
192,188.961,249
193,188.953,251
194,188.945,251
195,188.937,255
196,188.929,247
197,188.922,247
198,188.914,251
199,188.907,261
200,188.9,249
201,188.893,247
202,188.886,251
203,188.88,255
204,188.873,250
205,188.867,250
206,188.86,247
207,188.854,248
208,188.848,250
209,188.842,254
210,188.836,247
211,188.831,250
212,188.825,249
213,188.819,254
214,188.814,247
215,188.809,247
216,188.803,251
217,188.798,254
218,188.793,248
219,188.788,249
220,188.783,249
221,188.779,256
222,188.774,249
223,188.769,248
224,188.765,247
225,188.76,249
226,188.756,255
227,188.752,248
228,188.747,249
229,188.743,249
230,188.739,249
231,188.735,247
232,188.731,249
233,188.727,249
234,188.723,254
235,188.72,248
236,188.716,248
237,188.712,249
238,188.709,252
239,188.705,249
240,188.702,249
241,188.699,251
242,188.695,248
243,188.692,248
244,188.689,248
245,188.686,249
246,188.683,248
247,188.68,249
248,188.677,247
249,188.674,247
250,188.671,249
251,188.668,247
252,188.665,250
253,188.663,248
254,188.66,250
255,188.657,249
256,188.655,244
257,188.652,243
258,188.65,248
259,188.647,248
260,188.645,250
261,188.642,247
262,188.64,251
263,188.638,250
264,188.635,244
265,188.633,254
266,188.631,248
267,188.629,249
268,188.627,249
269,188.625,258
270,188.623,249
271,188.621,250
272,188.619,251
273,188.617,254
274,188.615,303
275,188.613,252
