iter,obj,time
0,4.33634e+06,506
1,2.24742e+06,485
2,692822,1379
3,139450,505
4,53969.5,497
5,35029.1,493
6,23323.1,473
7,19517.3,486
8,14339.8,491
9,10334.6,487
10,7525.33,508
11,6321.89,502
12,5495.68,505
13,4504.78,485
14,3817.36,513
15,3401.84,492
16,3016.18,495
17,2669.62,488
18,2300.08,473
19,1955.52,497
20,1624.65,490
21,1333.36,498
22,1092.77,483
23,912.561,477
24,789.669,461
25,713.84,464
26,671.372,478
27,650.261,482
28,641.571,501
29,639.026,466
30,638.655,492
31,638.627,496
32,638.625,472
33,638.625,473
