iter,obj,time
0,2.01335e+07,17331
1,1.47838e+07,16994
2,9.15527e+06,52060
3,4.95881e+06,18349
4,4.01578e+06,18402
5,3.316e+06,17193
6,2.78029e+06,18429
7,2.37285e+06,16934
8,2.07263e+06,17493
9,1.82959e+06,17554
10,1.6223e+06,16967
11,1.44311e+06,17034
12,1.2921e+06,17263
13,1.16487e+06,17325
14,1.0526e+06,17347
15,949214,19450
16,851430,16953
17,762272,19526
18,679677,17689
19,606196,17034
20,551234,17874
21,502332,17169
22,452843,19365
23,413454,19587
24,378581,18009
25,340168,17298
26,307942,17893
27,285971,17177
28,269333,19400
29,258536,19541
30,251707,16731
31,246074,17368
32,240723,17044
33,235273,17021
34,229498,17028
35,223095,17432
36,216828,17155
37,210568,19357
38,203955,19336
39,196559,17025
40,188901,19308
41,182824,17823
42,176197,17195
43,168485,17608
44,161187,18322
45,155038,17343
46,149203,16733
47,143189,17343
48,136610,20226
49,129764,17410
50,122919,16790
51,114641,16408
52,103733,19806
53,96965,18081
54,93770.2,19300
55,91759.7,17319
56,89918.9,17541
57,87223,17113
58,84656.8,16848
59,84320.9,19499
60,84319,17799
61,84319,20916
