iter,obj,time
0,1.40652e+06,538
1,1.13582e+06,1583
2,414415,527
3,287719,531
4,185625,588
5,108080,564
6,74092.5,545
7,58232.8,579
8,48920.7,523
9,42526.4,571
10,37982.4,532
11,34269.9,542
12,30725.1,540
13,27738.3,561
14,25779.8,557
15,24060.5,578
16,22480.2,518
17,20860.9,558
18,19958,536
19,19937.5,1016
20,19877.9,545
21,19714.6,582
22,19332.1,550
23,18704.2,542
24,18127.9,557
25,17811.9,556
26,17626,539
27,17446.6,534
28,17181.5,556
29,16735.9,542
30,16293.3,536
31,15445.3,532
32,14835.6,576
33,14250.9,527
34,13598.9,524
35,13077.7,546
36,12593.5,535
37,12200.8,550
38,11841.1,539
39,11542.4,570
40,11264.7,554
41,11030.5,535
42,10790.4,549
43,10567.1,549
44,10353,570
45,10160.2,553
46,9992.14,533
47,9848.8,541
48,9728.99,612
49,9631.56,594
50,9552.01,530
51,9485.15,545
52,9427.9,543
53,9378.94,532
54,9337.62,567
55,9303.2,546
56,9274.98,551
57,9252.06,558
58,9233.72,548
59,9219.12,539
60,9207.69,550
61,9198.69,575
62,9191.85,571
63,9186.3,530
64,9182.55,560
65,9178.27,577
66,9175.66,540
67,9173.35,530
68,9171.08,594
69,9168.8,545
70,9166.47,535
71,9164.07,523
72,9161.59,561
73,9159.03,542
74,9156.37,533
75,9153.62,527
76,9150.76,550
77,9147.81,543
78,9144.76,563
79,9141.62,500
80,9138.41,542
81,9135.13,529
82,9131.81,544
83,9128.46,536
84,9125.11,530
85,9121.76,540
86,9118.46,547
87,9115.21,541
88,9112.03,530
89,9108.94,538
90,9105.95,576
91,9103.08,543
92,9100.32,537
93,9097.68,536
94,9095.15,544
95,9092.74,590
96,9090.43,520
97,9088.21,551
98,9086.09,550
99,9084.03,539
