iter,obj,time
0,516991,122
1,470056,125
2,284724,345
3,92883.2,136
4,43128.9,119
5,28718.1,135
6,22499.5,122
7,15935.3,129
8,12246,122
9,10777,120
10,10328.6,121
11,10242.2,132
12,10219.5,135
13,10211.4,121
14,10208,135
15,10206.6,141
16,10205.8,121
17,10205.4,123
18,10205.1,129
19,10204.9,121
20,10204.8,127
21,10204.6,139
22,10204.5,123
23,10204.4,128
24,10204.3,129
25,10204.2,121
26,10204.2,119
27,10204.1,129
28,10204,126
29,10203.9,120
30,10203.8,130
31,10203.8,119
32,10203.7,124
33,10203.6,178
34,10203.6,130
35,10203.5,125
36,10203.4,125
37,10203.4,132
38,10203.3,129
39,10203.2,133
40,10203.2,124
41,10203.1,125
42,10203,130
43,10203,145
44,10202.9,134
45,10202.8,130
46,10202.8,130
47,10202.7,128
48,10202.6,132
49,10202.6,120
50,10202.5,129
51,10202.5,140
52,10202.4,133
53,10202.3,123
54,10202.3,124
55,10202.2,153
56,10202.2,126
57,10202.1,133
58,10202,128
59,10202,138
60,10201.9,141
61,10201.9,124
62,10201.8,135
63,10201.7,120
64,10201.7,122
65,10201.6,124
66,10201.6,142
67,10201.5,125
68,10201.4,126
69,10201.4,127
70,10201.3,137
71,10201.3,129
72,10201.2,132
73,10201.2,119
74,10201.1,153
75,10201.1,126
76,10201,125
77,10201,126
78,10200.9,119
79,10200.8,125
80,10200.8,124
81,10200.7,121
82,10200.7,129
83,10200.6,124
84,10200.6,121
85,10200.5,128
86,10200.5,124
87,10200.4,126
88,10200.4,122
89,10200.3,124
90,10200.3,125
91,10200.2,128
92,10200.2,125
93,10200.1,120
94,10200.1,124
95,10200,120
96,10200,121
97,10199.9,123
98,10199.9,121
99,10199.9,126
