iter,obj,time
0,3.92814e+06,177
1,3.9168e+06,184
2,3.91418e+06,182
3,3.91276e+06,177
4,3.91179e+06,184
5,3.91104e+06,206
6,3.91039e+06,183
7,3.90979e+06,178
8,3.90921e+06,181
9,3.90862e+06,182
10,3.908e+06,186
11,3.90733e+06,188
12,3.90659e+06,198
13,3.90575e+06,182
14,3.9048e+06,190
15,3.9037e+06,181
16,3.90242e+06,184
17,3.90089e+06,195
18,3.89905e+06,181
19,3.89676e+06,191
20,3.89376e+06,201
21,3.88946e+06,183
22,3.88253e+06,186
23,3.86985e+06,209
24,3.84469e+06,182
25,3.79519e+06,183
26,3.70966e+06,180
27,3.59431e+06,187
28,3.47816e+06,180
29,3.38612e+06,198
30,3.32344e+06,189
31,3.28407e+06,192
32,3.26019e+06,189
33,3.2458e+06,182
34,3.23703e+06,189
35,3.23156e+06,190
36,3.22805e+06,176
37,3.22574e+06,184
38,3.22416e+06,184
39,3.22306e+06,181
40,3.22227e+06,179
41,3.22169e+06,181
42,3.22125e+06,183
43,3.2209e+06,194
44,3.22063e+06,211
45,3.22042e+06,189
46,3.22024e+06,183
47,3.22009e+06,180
48,3.21997e+06,183
49,3.21986e+06,215
50,3.21977e+06,195
51,3.21969e+06,182
52,3.21963e+06,192
53,3.21957e+06,184
54,3.21952e+06,188
55,3.21948e+06,191
56,3.21944e+06,197
57,3.2194e+06,180
58,3.21937e+06,187
59,3.21934e+06,191
60,3.21932e+06,187
61,3.2193e+06,179
62,3.21928e+06,184
63,3.21926e+06,188
64,3.21925e+06,175
65,3.21924e+06,186
66,3.21922e+06,186
67,3.21921e+06,203
68,3.2192e+06,183
69,3.21919e+06,188
70,3.21919e+06,184
71,3.21918e+06,193
72,3.21917e+06,189
73,3.21917e+06,184
74,3.21916e+06,181
75,3.21915e+06,178
76,3.21915e+06,202
77,3.21914e+06,190
78,3.21914e+06,190
79,3.21914e+06,178
80,3.21913e+06,180
81,3.21913e+06,182
82,3.21913e+06,183
83,3.21912e+06,193
84,3.21912e+06,211
