iter,obj,time
0,6.71455e+06,363
1,4.10954e+06,404
2,1.97162e+06,383
3,1.1253e+06,410
4,841324,362
5,663152,369
6,546065,391
7,468618,408
8,411182,438
9,367782,374
10,334709,388
11,311296,387
12,294160,403
13,277671,390
14,262521,378
15,244836,378
16,226386,383
17,215346,384
18,207505,373
19,199954,382
20,192024,377
21,189357,368
22,187190,386
23,184610,382
24,182157,415
25,180847,382
26,179111,365
27,176358,412
28,174836,365
29,173384,399
30,170052,425
31,164818,392
32,160654,373
33,156620,387
34,153774,394
35,151721,368
36,150273,388
37,147983,359
38,145980,389
39,145092,418
40,144136,405
41,143384,379
42,142637,392
43,140922,413
44,139041,387
45,138535,372
46,138035,389
47,137413,378
48,136656,380
49,135897,367
50,135139,369
51,134125,409
52,132922,398
53,132054,406
54,131440,381
55,130852,385
56,130287,432
57,129810,382
58,129396,390
59,128921,389
60,127908,389
61,126230,385
62,125714,392
63,125453,364
64,125203,387
65,124893,385
66,124216,380
67,122489,403
68,121766,391
69,121477,376
70,121286,390
71,121125,388
72,120970,385
73,120802,371
74,120592,378
75,120300,380
76,119937,377
77,119554,394
78,118966,368
79,118312,371
80,118081,373
81,117957,370
82,117833,380
83,117686,376
84,117515,378
85,117345,367
86,117209,425
87,117103,371
88,117009,380
89,116912,363
90,116798,392
91,116643,367
92,116424,376
93,116195,376
94,116049,382
95,115961,369
96,115891,378
97,115827,391
98,115763,382
99,115698,389
