iter,obj,time
0,311503,1014
1,220586,2988
2,81603.2,958
3,49278.2,990
4,34291.3,1914
5,27466.2,957
6,21510.9,1010
7,17963,1021
8,15281.4,1029
9,13775.4,1050
10,12370.4,1015
11,11548.4,1060
12,10706.1,1024
13,10156.4,987
14,9608.33,1038
15,9197.09,967
16,8800.62,1003
17,8440.54,998
18,8035.37,977
19,7357.75,957
20,6272.89,1032
21,5784.38,981
22,3885.42,1035
23,2919.2,983
24,2111.16,1016
25,1711.83,979
26,1331.81,1006
27,1126.75,991
28,941.216,974
29,837.749,1014
30,770.844,959
31,738.922,1008
32,723.484,1009
33,718.475,1009
34,717.279,997
35,717.149,956
36,717.13,975
37,717.127,978
38,717.126,988
