iter,obj,time
0,91150.9,103
1,87198,195
2,22083,191
3,3423.03,103
4,1354.35,102
5,862.224,111
6,589.442,103
7,459.135,105
8,377.078,102
9,322.906,103
10,289.943,101
11,259.554,103
12,227.96,106
13,198.598,97
14,166.742,101
15,135.098,105
16,100.937,110
17,73.146,110
18,54.0228,103
19,41.2264,104
20,33.5892,104
21,28.7441,106
22,25.3183,100
23,22.6888,101
24,20.4304,97
25,18.4138,103
26,16.5628,101
27,14.8676,108
28,13.3287,101
29,11.9505,105
30,10.7179,105
31,9.61941,104
32,8.64322,103
33,7.7804,104
34,7.01887,102
35,6.34907,107
36,5.76302,104
37,5.25401,102
38,4.81369,99
39,4.43188,103
40,4.09795,104
41,3.80357,104
42,3.54378,111
43,3.31535,109
44,3.11466,103
45,2.93726,98
46,2.77861,105
47,2.63482,104
48,2.50306,105
49,2.38154,107
50,2.26919,104
51,2.16535,105
52,2.06957,104
53,1.98148,105
54,1.90078,102
55,1.82711,109
56,1.76009,102
57,1.69931,101
58,1.64436,100
59,1.59484,103
60,1.55035,99
61,1.51054,103
62,1.47509,102
63,1.44369,100
64,1.41605,105
65,1.39186,101
66,1.37081,103
67,1.3526,106
68,1.33692,101
69,1.32349,100
70,1.31203,99
71,1.30231,108
72,1.29413,105
73,1.28729,106
74,1.28163,107
75,1.27699,101
76,1.27324,99
77,1.27026,107
78,1.26792,102
79,1.26614,105
80,1.26482,103
81,1.26388,102
82,1.26324,104
83,1.26285,107
84,1.26264,101
85,1.26255,100
86,1.26253,105
87,1.26252,105
88,1.26252,98
