iter,obj,time Aggregate time
0,265210,151,151
1,77591.6,149,304
2,61110.9,149,456
3,53853.6,152,612
4,45727.5,153,768
5,449.179,152,924
6,12.6735,156,1084
7,6.37613,153,1241
8,5.28912,149,1393
9,5.01543,148,1545
10,4.87473,152,1700
11,4.79217,149,1852
12,4.74439,147,2002
13,4.71728,148,2153
14,4.7021,150,2307
15,4.69367,150,2460
16,4.689,148,2611
17,4.68643,149,2764
18,4.68501,150,2917
19,4.68423,149,3070
20,4.6838,148,3221
21,4.68356,148,3373
22,4.68343,151,3527
23,4.68336,147,3677
24,4.68332,149,3829
