iter,obj,time Aggregate time
0,3.33904e+06,136,136
1,3.32968e+06,138,276
2,3.32769e+06,153,432
3,3.32673e+06,141,575
4,3.32615e+06,141,719
5,3.32575e+06,150,871
6,3.32545e+06,137,1010
7,3.32521e+06,147,1160
8,3.32501e+06,142,1304
9,3.32485e+06,146,1452
10,3.32471e+06,141,1595
11,3.32459e+06,140,1737
12,3.32448e+06,132,1871
13,3.32439e+06,143,2016
14,3.3243e+06,142,2160
15,3.32423e+06,150,2312
16,3.32417e+06,151,2465
17,3.32411e+06,143,2609
18,3.32406e+06,147,2759
19,3.32401e+06,149,2909
20,3.32397e+06,141,3052
21,3.32393e+06,151,3205
22,3.32389e+06,139,3346
23,3.32386e+06,144,3493
24,3.32383e+06,136,3631
25,3.32381e+06,145,3778
26,3.32378e+06,137,3917
27,3.32376e+06,136,4055
28,3.32374e+06,139,4196
29,3.32372e+06,155,4353
30,3.3237e+06,141,4496
31,3.32368e+06,138,4635
32,3.32367e+06,135,4772
33,3.32365e+06,142,4917
34,3.32364e+06,146,5065
35,3.32362e+06,139,5206
36,3.32361e+06,137,5345
37,3.3236e+06,144,5491
38,3.32358e+06,138,5631
39,3.32357e+06,142,5775
40,3.32356e+06,140,5916
41,3.32355e+06,138,6056
42,3.32354e+06,147,6205
43,3.32353e+06,143,6349
44,3.32352e+06,139,6490
45,3.32351e+06,142,6634
46,3.3235e+06,134,6770
47,3.32349e+06,141,6914
48,3.32348e+06,145,7061
49,3.32347e+06,139,7202
50,3.32346e+06,137,7340
51,3.32345e+06,135,7477
52,3.32344e+06,144,7623
53,3.32343e+06,140,7765
54,3.32342e+06,143,7911
55,3.32341e+06,142,8055
56,3.32341e+06,144,8201
57,3.3234e+06,148,8351
58,3.32339e+06,137,8490
59,3.32338e+06,139,8631
60,3.32337e+06,135,8768
61,3.32336e+06,137,8907
62,3.32336e+06,135,9044
63,3.32335e+06,137,9182
64,3.32334e+06,138,9322
65,3.32333e+06,142,9466
66,3.32332e+06,143,9610
67,3.32332e+06,148,9760
68,3.32331e+06,141,9903
69,3.3233e+06,144,10048
70,3.32329e+06,140,10190
71,3.32329e+06,137,10330
72,3.32328e+06,142,10473
73,3.32327e+06,155,10630
74,3.32326e+06,143,10775
75,3.32326e+06,138,10917
76,3.32325e+06,139,11058
77,3.32324e+06,140,11200
78,3.32324e+06,140,11341
79,3.32323e+06,141,11486
80,3.32322e+06,143,11631
81,3.32321e+06,143,11776
82,3.32321e+06,143,11921
83,3.3232e+06,150,12073
84,3.32319e+06,142,12217
85,3.32319e+06,142,12361
86,3.32318e+06,142,12505
87,3.32317e+06,136,12643
88,3.32317e+06,137,12783
89,3.32316e+06,140,12924
90,3.32315e+06,137,13063
91,3.32315e+06,141,13206
92,3.32314e+06,139,13346
93,3.32313e+06,141,13490
94,3.32313e+06,142,13634
95,3.32312e+06,167,13802
96,3.32312e+06,152,13956
97,3.32311e+06,166,14125
98,3.3231e+06,154,14280
99,3.3231e+06,146,14428
100,3.32309e+06,141,14572
101,3.32309e+06,136,14709
102,3.32308e+06,155,14866
103,3.32307e+06,149,15017
104,3.32307e+06,149,15168
105,3.32306e+06,150,15320
106,3.32306e+06,137,15459
107,3.32305e+06,154,15616
108,3.32304e+06,144,15762
109,3.32304e+06,147,15911
110,3.32303e+06,158,16071
111,3.32303e+06,146,16219
112,3.32302e+06,149,16370
113,3.32302e+06,159,16532
114,3.32301e+06,142,16676
115,3.32301e+06,169,16848
116,3.323e+06,148,16998
117,3.32299e+06,146,17146
118,3.32299e+06,150,17299
119,3.32298e+06,183,17484
120,3.32298e+06,195,17681
121,3.32297e+06,163,17846
122,3.32297e+06,157,18006
123,3.32296e+06,160,18167
124,3.32296e+06,161,18330
125,3.32295e+06,165,18498
126,3.32295e+06,157,18657
127,3.32294e+06,177,18836
128,3.32294e+06,174,19013
129,3.32293e+06,155,19170
130,3.32293e+06,153,19325
131,3.32292e+06,146,19473
132,3.32292e+06,180,19656
133,3.32291e+06,153,19811
134,3.32291e+06,200,20013
135,3.3229e+06,174,20190
136,3.3229e+06,180,20372
137,3.32289e+06,206,20580
138,3.32289e+06,172,20755
139,3.32289e+06,195,20952
140,3.32288e+06,167,21122
141,3.32288e+06,187,21311
142,3.32287e+06,159,21472
143,3.32287e+06,176,21651
144,3.32286e+06,168,21821
145,3.32286e+06,155,21978
146,3.32285e+06,170,22150
147,3.32285e+06,151,22303
148,3.32285e+06,149,22455
149,3.32284e+06,152,22609
150,3.32284e+06,157,22767
151,3.32283e+06,171,22940
152,3.32283e+06,144,23086
153,3.32282e+06,163,23252
154,3.32282e+06,157,23411
155,3.32282e+06,163,23576
156,3.32281e+06,146,23725
157,3.32281e+06,153,23880
158,3.3228e+06,146,24028
159,3.3228e+06,155,24185
160,3.3228e+06,148,24335
161,3.32279e+06,148,24486
162,3.32279e+06,144,24632
163,3.32278e+06,149,24783
164,3.32278e+06,134,24920
165,3.32278e+06,139,25061
166,3.32277e+06,140,25202
167,3.32277e+06,153,25358
168,3.32277e+06,142,25501
169,3.32276e+06,155,25658
170,3.32276e+06,149,25809
171,3.32275e+06,160,25971
172,3.32275e+06,147,26120
173,3.32275e+06,153,26275
174,3.32274e+06,156,26433
175,3.32274e+06,142,26577
176,3.32274e+06,162,26740
177,3.32273e+06,147,26890
178,3.32273e+06,149,27041
179,3.32273e+06,140,27183
180,3.32272e+06,146,27331
181,3.32272e+06,165,27498
182,3.32272e+06,153,27653
183,3.32271e+06,141,27796
184,3.32271e+06,146,27944
185,3.32271e+06,161,28106
186,3.3227e+06,141,28249
187,3.3227e+06,141,28392
188,3.3227e+06,148,28542
189,3.32269e+06,148,28692
190,3.32269e+06,142,28836
191,3.32268e+06,146,28984
192,3.32268e+06,143,29129
193,3.32267e+06,148,29280
194,3.32266e+06,153,29434
195,3.32265e+06,155,29592
196,3.32264e+06,156,29750
197,3.32262e+06,151,29903
198,3.3226e+06,149,30054
199,3.32257e+06,139,30196
200,3.32253e+06,152,30350
201,3.32247e+06,145,30496
202,3.32239e+06,145,30643
203,3.32228e+06,139,30785
204,3.32211e+06,145,30932
205,3.32188e+06,137,31071
206,3.32156e+06,156,31228
207,3.3211e+06,137,31367
208,3.32045e+06,138,31508
209,3.31954e+06,160,31670
210,3.31825e+06,151,31822
211,3.31645e+06,144,31968
212,3.31395e+06,136,32106
213,3.31051e+06,142,32250
214,3.30583e+06,134,32386
215,3.29959e+06,139,32527
216,3.29147e+06,139,32668
217,3.28121e+06,155,32825
218,3.26874e+06,169,32997
219,3.25431e+06,146,33145
220,3.23845e+06,185,33333
221,3.22202e+06,144,33479
222,3.20597e+06,136,33617
223,3.19112e+06,142,33761
224,3.17799e+06,138,33901
225,3.16674e+06,139,34042
226,3.1572e+06,142,34186
227,3.14899e+06,144,34331
228,3.14157e+06,140,34473
229,3.13438e+06,148,34623
230,3.12682e+06,139,34764
231,3.11833e+06,137,34903
232,3.1084e+06,146,35051
233,3.0967e+06,149,35202
234,3.08313e+06,138,35341
235,3.06791e+06,164,35508
236,3.05164e+06,149,35659
237,3.03517e+06,145,35806
238,3.01943e+06,157,35965
239,3.00519e+06,148,36115
240,2.99296e+06,142,36259
241,2.98291e+06,153,36415
242,2.97493e+06,149,36566
243,2.96878e+06,149,36716
244,2.96414e+06,139,36857
245,2.96069e+06,134,36993
246,2.95816e+06,141,37136
247,2.95632e+06,154,37292
248,2.95498e+06,136,37430
249,2.95402e+06,154,37586
250,2.95333e+06,141,37729
251,2.95283e+06,135,37866
252,2.95247e+06,149,38017
253,2.95221e+06,153,38172
254,2.95202e+06,142,38316
255,2.95189e+06,141,38459
256,2.95179e+06,139,38599
257,2.95172e+06,150,38752
258,2.95167e+06,143,38897
259,2.95163e+06,147,39046
260,2.9516e+06,140,39188
261,2.95158e+06,139,39328
262,2.95157e+06,139,39469
263,2.95156e+06,139,39610
264,2.95155e+06,145,39757
265,2.95154e+06,158,39916
266,2.95154e+06,140,40058
267,2.95153e+06,157,40217
268,2.95153e+06,139,40358
269,2.95153e+06,142,40502
