field,i,j,value
SDPval,0,,79610
SDPval,1,,36372.7
SDPval,2,,217.21
gradnorm,0,,11.6889
gradnorm,1,,48.7219
gradnorm,2,,0.0018851
total_computation_time,,,86373.5
startingRank,,,2
endingRank,,,4
initialization_time,0,,28.9149
initialization_time,1,,25.386
initialization_time,2,,63.0601
initialization_time,3,,32.1803
elapsed_optimization_times,0,,11623.1
elapsed_optimization_times,1,,17278.7
elapsed_optimization_times,2,,2055.15
verification_times,0,,78.9826
verification_times,1,,123.73
verification_times,2,,48.9098
